"Year","ID","Name","Poverty Universe","Number in Poverty","90% Confidence Interval","Percent in Poverty","90% Confidence Interval"
"2019","06005","Amador County","35391","3462","2,620 to 4,304","9.8","7.4 to 12.2"
"2019","06007","Butte County","214396","34503","30,323 to 38,683","16.1","14.2 to 18.0"
"2019","06009","Calaveras County","45356","5477","4,255 to 6,699","12.1","9.4 to 14.8"
"2019","06011","Colusa County","21284","2554","2,066 to 3,042","12","9.7 to 14.3"
"2019","06013","Contra Costa County","1143554","90482","81,216 to 99,748","7.9","7.1 to 8.7"
"2019","06015","Del Norte County","24765","4445","3,261 to 5,629","17.9","13.1 to 22.7"
"2019","06017","El Dorado County","191415","16649","14,268 to 19,030","8.7","7.5 to 9.9"
"2019","06019","Fresno County","980933","200873","188,411 to 213,335","20.5","19.2 to 21.8"
"2019","06021","Glenn County","27998","3397","2,503 to 4,291","12.1","8.9 to 15.3"
"2019","06023","Humboldt County","131904","25136","22,243 to 28,029","19.1","16.9 to 21.3"
"2019","06025","Imperial County","172437","38020","32,901 to 43,139","22","19.0 to 25.0"
"2019","06027","Inyo County","17719","2071","1,606 to 2,536","11.7","9.1 to 14.3"
"2019","06029","Kern County","867067","164817","150,998 to 178,636","19","17.4 to 20.6"
"2019","06031","Kings County","136235","21840","18,284 to 25,396","16","13.4 to 18.6"
"2019","06033","Lake County","63406","11622","9,453 to 13,791","18.3","14.9 to 21.7"
"2019","06035","Lassen County","22919","3789","2,926 to 4,652","16.5","12.7 to 20.3"
"2019","06037","Los Angeles County","9874732","1319242","1,280,878 to 1,357,606","13.4","13.0 to 13.8"
"2019","06039","Madera County","149572","26309","22,123 to 30,495","17.6","14.8 to 20.4"
"2019","06041","Marin County","251869","17357","14,718 to 19,996","6.9","5.9 to 7.9"
"2019","06043","Mariposa County","16999","2565","2,023 to 3,107","15.1","11.9 to 18.3"
"2019","06045","Mendocino County","85428","11980","9,907 to 14,053","14","11.6 to 16.4"
"2019","06047","Merced County","270628","46011","38,982 to 53,040","17","14.4 to 19.6"
"2019","06049","Modoc County","8572","1757","1,362 to 2,152","20.5","15.9 to 25.1"
"2019","06051","Mono County","14229","1437","1,097 to 1,777","10.1","7.7 to 12.5"
"2019","06053","Monterey County","415595","52484","46,226 to 58,742","12.6","11.1 to 14.1"
"2019","06055","Napa County","133320","9897","7,877 to 11,917","7.4","5.9 to 8.9"
"2019","06057","Nevada County","98794","9268","7,229 to 11,307","9.4","7.3 to 11.5"
"2019","06059","Orange County","3132602","297658","277,889 to 317,427","9.5","8.9 to 10.1"
"2019","06061","Placer County","395048","26170","22,169 to 30,171","6.6","5.6 to 7.6"
"2019","06063","Plumas County","18467","2432","1,863 to 3,001","13.2","10.1 to 16.3"
"2019","06065","Riverside County","2434734","274953","255,600 to 294,306","11.3","10.5 to 12.1"
"2019","06067","Sacramento County","1530993","192993","177,822 to 208,164","12.6","11.6 to 13.6"
"2019","06069","San Benito County","62451","6518","5,414 to 7,622","10.4","8.6 to 12.2"
"2019","06071","San Bernardino County","2139699","284359","264,289 to 304,429","13.3","12.4 to 14.2"
"2019","06073","San Diego County","3238918","335034","313,969 to 356,099","10.3","9.6 to 11.0"
"2019","06075","San Francisco County","865424","82616","75,280 to 89,952","9.5","8.7 to 10.3"
"2019","06077","San Joaquin County","746705","101772","91,702 to 111,842","13.6","12.3 to 14.9"
"2019","06079","San Luis Obispo County","267665","31180","26,972 to 35,388","11.6","10.0 to 13.2"
"2019","06081","San Mateo County","759898","46328","40,416 to 52,240","6.1","5.3 to 6.9"
"2019","06083","Santa Barbara County","426592","51298","45,550 to 57,046","12","10.7 to 13.3"
"2019","06085","Santa Clara County","1900407","116401","105,726 to 127,076","6.1","5.5 to 6.7"
"2019","06087","Santa Cruz County","260790","27531","23,215 to 31,847","10.6","8.9 to 12.3"
"2019","06089","Shasta County","177187","23508","19,580 to 27,436","13.3","11.1 to 15.5"
"2019","06091","Sierra County","2961","375","281 to 469","12.7","9.5 to 15.9"
"2019","06093","Siskiyou County","42924","7484","6,176 to 8,792","17.4","14.4 to 20.4"
"2019","06095","Solano County","435892","39018","33,971 to 44,065","9","7.8 to 10.2"
"2019","06097","Sonoma County","485390","34758","29,838 to 39,678","7.2","6.2 to 8.2"
